<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	10:10:00	1671.07	1673.50	1660.51	1663.77	298	0	45
2025.01.01	10:20:00	1663.80	1671.56	1658.26	1658.50	298	0	45
2025.01.01	10:30:00	1658.19	1662.92	1653.83	1662.08	297	0	45
2025.01.01	10:40:00	1661.84	1665.96	1658.51	1661.81	295	0	45
2025.01.01	10:50:00	1661.60	1665.46	1658.91	1663.25	300	0	45
2025.01.01	11:00:00	1663.36	1666.72	1653.48	1655.37	297	0	45
2025.01.01	11:10:00	1655.78	1665.59	1651.91	1665.59	300	0	45
2025.01.01	11:20:00	1665.12	1665.50	1659.27	1660.67	299	0	45
2025.01.01	11:30:00	1661.29	1661.49	1653.25	1654.96	299	0	45
2025.01.01	11:40:00	1654.60	1655.46	1633.26	1634.88	300	0	45
2025.01.01	11:50:00	1634.93	1636.07	1623.49	1624.82	298	0	45
2025.01.01	12:00:00	1625.04	1627.91	1616.17	1618.03	299	0	45
2025.01.01	12:10:00	1618.12	1618.12	1608.82	1611.93	295	0	45
2025.01.01	12:20:00	1611.65	1622.16	1610.27	1618.50	298	0	45
2025.01.01	12:30:00	1618.26	1618.31	1606.17	1610.25	297	0	45
2025.01.01	12:40:00	1609.99	1616.50	1605.45	1605.99	296	0	45
2025.01.01	12:50:00	1605.66	1611.13	1605.03	1605.72	297	0	45
2025.01.01	13:00:00	1606.04	1606.13	1593.91	1594.21	297	0	45
2025.01.01	13:10:00	1594.56	1597.68	1590.31	1593.31	294	0	45
2025.01.01	13:20:00	1593.24	1601.70	1590.52	1601.46	297	0	45
2025.01.01	13:30:00	1601.59	1602.99	1598.25	1600.90	295	0	45
2025.01.01	13:40:00	1601.16	1604.70	1599.33	1601.27	296	0	45
2025.01.01	13:50:00	1600.99	1606.34	1598.27	1603.75	299	0	45
2025.01.01	14:00:00	1604.55	1604.78	1597.41	1597.64	295	0	45
2025.01.01	14:10:00	1597.45	1607.45	1595.97	1596.25	293	0	45
2025.01.01	14:20:00	1595.91	1601.51	1592.60	1601.08	297	0	45
2025.01.01	14:30:00	1601.48	1603.60	1596.60	1600.37	300	0	45
2025.01.01	14:40:00	1599.76	1605.12	1597.12	1598.32	297	0	45
2025.01.01	14:50:00	1598.16	1606.79	1597.94	1603.25	298	0	45
2025.01.01	15:00:00	1603.42	1606.41	1600.36	1603.77	297	0	45
2025.01.01	15:10:00	1605.09	1607.43	1596.74	1607.14	298	0	45
2025.01.01	15:20:00	1607.21	1607.33	1597.12	1597.12	300	0	45
2025.01.01	15:30:00	1596.53	1608.15	1596.19	1606.70	298	0	45
2025.01.01	15:40:00	1606.27	1609.54	1599.23	1600.82	295	0	45
2025.01.01	15:50:00	1601.06	1603.86	1596.85	1599.69	300	0	45
2025.01.01	16:00:00	1600.26	1601.41	1594.24	1601.16	294	0	45
2025.01.01	16:10:00	1601.25	1604.68	1592.02	1592.38	298	0	45
2025.01.01	16:20:00	1592.13	1593.84	1587.65	1591.07	299	0	45
2025.01.01	16:30:00	1590.41	1597.66	1590.41	1594.12	298	0	45
2025.01.01	16:40:00	1594.27	1596.11	1588.44	1593.24	298	0	45
2025.01.01	16:50:00	1593.22	1593.22	1583.43	1588.33	295	0	45
2025.01.01	17:00:00	1588.08	1598.54	1587.87	1598.54	298	0	45
2025.01.01	17:10:00	1598.52	1598.57	1591.19	1593.33	299	0	45
2025.01.01	17:20:00	1593.41	1607.14	1592.86	1603.26	298	0	45
2025.01.01	17:30:00	1602.71	1611.59	1601.69	1603.13	297	0	45
2025.01.01	17:40:00	1603.31	1603.33	1597.74	1598.87	295	0	45
2025.01.01	17:50:00	1598.46	1601.82	1593.39	1599.38	297	0	45
2025.01.01	18:00:00	1599.20	1601.62	1595.77	1598.60	296	0	45
2025.01.01	18:10:00	1598.57	1601.03	1590.47	1592.06	298	0	45
2025.01.01	18:20:00	1591.79	1592.01	1579.69	1582.46	298	0	45
2025.01.01	18:30:00	1582.11	1582.11	1569.74	1574.26	298	0	45
2025.01.01	18:40:00	1574.19	1583.64	1573.52	1577.93	296	0	45
2025.01.01	18:50:00	1578.70	1579.27	1570.81	1577.77	299	0	45
2025.01.01	19:00:00	1577.93	1579.28	1571.10	1572.34	298	0	45
2025.01.01	19:10:00	1572.69	1573.03	1565.55	1566.08	299	0	45
2025.01.01	19:20:00	1566.40	1573.62	1564.85	1568.14	299	0	45
2025.01.01	19:30:00	1568.05	1572.61	1566.50	1567.89	297	0	45
2025.01.01	19:40:00	1568.06	1568.34	1558.04	1562.01	299	0	45
2025.01.01	19:50:00	1562.56	1564.81	1555.95	1563.99	298	0	45
2025.01.01	20:00:00	1563.90	1573.63	1562.16	1570.39	291	0	45
2025.01.01	20:10:00	1569.99	1579.26	1568.04	1572.23	297	0	45
2025.01.01	20:20:00	1572.63	1580.45	1571.87	1577.81	294	0	45
2025.01.01	20:30:00	1577.92	1577.92	1566.40	1573.75	296	0	45
2025.01.01	20:40:00	1574.17	1579.92	1571.14	1579.92	297	0	45
2025.01.01	20:50:00	1579.79	1588.39	1578.97	1581.72	299	0	45
